Design,Kategori,Ukuran,Variasi,Hari 1,Hari 2,Hari 3,Hari 4,Hari 5,Total
A,Dewasa,S,short,1,1,1,0,0,3
A,Dewasa,S,long,0,0,0,1,1,2
A,Dewasa,M,short,2,2,2,2,2,10
A,Dewasa,M,long,2,2,2,2,2,10
A,Dewasa,L,short,3,3,3,2,2,13
A,Dewasa,L,long,2,2,2,3,3,12
A,Dewasa,XL,short,2,2,2,2,2,10
A,Dewasa,XL,long,2,2,2,2,2,10
A,Dewasa,2XL,short,2,2,2,2,2,10
A,Dewasa,2XL,long,2,2,2,2,2,10
A,Dewasa,3XL,short,1,1,1,1,1,5
A,Dewasa,3XL,long,1,1,1,1,1,5
A,Anak,S,-,1,1,1,1,1,5
A,Anak,M,-,1,1,1,1,1,5
A,Anak,L,-,1,1,1,1,1,5
B,Dewasa,S,short,1,1,1,0,0,3
B,Dewasa,S,long,0,0,0,1,1,2
B,Dewasa,M,short,2,2,2,2,2,10
B,Dewasa,M,long,2,2,2,2,2,10
B,Dewasa,L,short,3,3,3,2,2,13
B,Dewasa,L,long,2,2,2,3,3,12
B,Dewasa,XL,short,2,2,2,2,2,10
B,Dewasa,XL,long,2,2,2,2,2,10
B,Dewasa,2XL,short,2,2,2,2,2,10
B,Dewasa,2XL,long,2,2,2,2,2,10
B,Dewasa,3XL,short,1,1,1,1,1,5
B,Dewasa,3XL,long,1,1,1,1,1,5
B,Anak,S,-,1,1,1,1,1,5
B,Anak,M,-,1,1,1,1,1,5
B,Anak,L,-,1,1,1,1,1,5
C,Dewasa,S,short,1,1,1,0,0,3
C,Dewasa,S,long,0,0,0,1,1,2
C,Dewasa,M,short,2,2,2,2,2,10
C,Dewasa,M,long,2,2,2,2,2,10
C,Dewasa,L,short,3,3,3,2,2,13
C,Dewasa,L,long,2,2,2,3,3,12
C,Dewasa,XL,short,2,2,2,2,2,10
C,Dewasa,XL,long,2,2,2,2,2,10
C,Dewasa,2XL,short,2,2,2,2,2,10
C,Dewasa,2XL,long,2,2,2,2,2,10
C,Dewasa,3XL,short,1,1,1,1,1,5
C,Dewasa,3XL,long,1,1,1,1,1,5
C,Anak,S,-,1,1,1,1,1,5
C,Anak,M,-,1,1,1,1,1,5
C,Anak,L,-,1,1,1,1,1,5
D,Dewasa,S,short,1,1,1,0,0,3
D,Dewasa,S,long,0,0,0,1,1,2
D,Dewasa,M,short,2,2,2,2,2,10
D,Dewasa,M,long,2,2,2,2,2,10
D,Dewasa,L,short,3,3,3,2,2,13
D,Dewasa,L,long,2,2,2,3,3,12
D,Dewasa,XL,short,2,2,2,2,2,10
D,Dewasa,XL,long,2,2,2,2,2,10
D,Dewasa,2XL,short,2,2,2,2,2,10
D,Dewasa,2XL,long,2,2,2,2,2,10
D,Dewasa,3XL,short,1,1,1,1,1,5
D,Dewasa,3XL,long,1,1,1,1,1,5
D,Anak,S,-,1,1,1,1,1,5
D,Anak,M,-,1,1,1,1,1,5
D,Anak,L,-,1,1,1,1,1,5
E,Dewasa,S,short,1,1,1,0,0,3
E,Dewasa,S,long,0,0,0,1,1,2
E,Dewasa,M,short,2,2,2,2,2,10
E,Dewasa,M,long,2,2,2,2,2,10
E,Dewasa,L,short,3,3,3,2,2,13
E,Dewasa,L,long,2,2,2,3,3,12
E,Dewasa,XL,short,2,2,2,2,2,10
E,Dewasa,XL,long,2,2,2,2,2,10
E,Dewasa,2XL,short,2,2,2,2,2,10
E,Dewasa,2XL,long,2,2,2,2,2,10
E,Dewasa,3XL,short,1,1,1,1,1,5
E,Dewasa,3XL,long,1,1,1,1,1,5
E,Anak,S,-,1,1,1,1,1,5
